codigo,nombre,carrera,semestre,materia,nota
TS20230355,Adriana Ramírez Guzmán,Trabajo Social,3,Política Social,4.41
MD20240356,Liliana Serrano Medina,Medicina,3,Clínica,3.54
EN20240357,Cristian Rodríguez Medina,Enfermería,5,Salud Pública,4.66
IC20240358,Alejandro Polo Ariza,Ingeniería Civil,8,Estática,4.2
CP20240359,Carolina Díaz Peña,Contaduría Pública,6,Tributaria,3.57
NI20220360,María Suárez Serrano,Negocios Internacionales,1,Comercio Exterior,4.42
MD20220361,Valentina Sánchez Flores,Medicina,8,Clínica,3.28
II20220362,Nicolás Roa Ramos,Ingeniería Industrial,5,Estadística,3.69
PS20230363,Adriana Flores Hernández,Psicología,5,Educativa,4.35
IC20230364,Alejandro Díaz Ríos,Ingeniería Civil,3,Concreto,4.0
TS20230365,Alejandra Suárez Sánchez,Trabajo Social,7,Familia,3.15
DR20240366,Sandra Pérez Pérez,Derecho,6,Penal,3.91
II20220367,Nicolás Roa Serrano,Ingeniería Industrial,2,Logística,4.22
CS20250368,Sandra Díaz Pineda,Comunicación Social,3,Comunicación Digital,4.43
NI20250369,Camila Pérez Ramírez,Negocios Internacionales,2,Idiomas,4.66
AR20230370,Nicolás Morales Ortega,Arquitectura,2,Materiales,4.36
IS20230371,Carlos Polo Guzmán,Ingeniería de Sistemas,5,Sistemas Operativos,4.09
IS20250372,Melissa Vargas Roa,Ingeniería de Sistemas,4,Algoritmos,3.2
LE20240373,Rafael González Campos,Licenciatura en Educación Infantil,1,Didáctica,3.34
EN20250374,Eduardo Vega Romero,Enfermería,3,Cuidado Básico,1.13
LE20250375,Diego Díaz López,Licenciatura en Educación Infantil,1,Inclusión,3.86
CS20220376,Cristian Vega Guerrero,Comunicación Social,7,Comunicación Digital,3.58
EN20230377,Camila Ramos Rodríguez,Enfermería,4,Urgencias,3.79
AR20240378,Liliana Roa Serrano,Arquitectura,2,Historia del Arte,4.42
LE20220379,Isabella Morales Rodríguez,Licenciatura en Educación Infantil,7,Lúdica,4.03
CS20220380,Rodrigo Figueroa Barrera,Comunicación Social,3,Periodismo,4.35
EN20240381,Andrés Peña Castillo,Enfermería,9,Farmacología,3.87
NI20240382,Natalia Ariza Sánchez,Negocios Internacionales,1,Logística,3.53
IC20250383,Gabriel Salinas Pineda,Ingeniería Civil,8,Concreto,3.75
II20220384,Eduardo Flores Romero,Ingeniería Industrial,5,Logística,4.06
IS20230385,Mauricio Herrera García,Ingeniería de Sistemas,1,Programación I,3.69
EN20230386,Daniela Rivera López,Enfermería,7,Pediatría,3.37
OD20220387,Miguel Ortega González,Odontología,6,Endodoncia,4.03
PS20250388,Julián Campos López,Psicología,2,Social,4.16
IS20230389,Camila Aguilar Delgado,Ingeniería de Sistemas,6,Redes,3.65
DR20250390,Marcela Morales Delgado,Derecho,10,Penal,4.27
LE20220391,Andrea Torres García,Licenciatura en Educación Infantil,7,Desarrollo Infantil,3.82
IS20240392,Alejandra García Suárez,Ingeniería de Sistemas,7,Programación I,3.39
II20220393,Jorge Peña Hernández,Ingeniería Industrial,5,Investigación de Operaciones,4.95
LE20250394,Claudia Vega Guzmán,Licenciatura en Educación Infantil,6,Pedagogía,3.75
OD20220395,Iván Medina González,Odontología,10,Ortodoncia,4.07
LE20240396,Carlos Cruz Mendoza,Licenciatura en Educación Infantil,7,Didáctica,3.62
NI20220397,Felipe Ramírez Polo,Negocios Internacionales,10,Finanzas Internacionales,3.18
EN20230398,Miguel Vega Sánchez,Enfermería,6,Salud Pública,3.63
NI20220399,Sofía Rodríguez Flores,Negocios Internacionales,5,Finanzas Internacionales,4.16
DR20220400,Camila Pinto Morales,Derecho,7,Constitucional,4.0
EN20230401,Valentina Medina Ruiz,Enfermería,9,Cuidado Básico,3.9
IS20230402,Nicolás Sánchez García,Ingeniería de Sistemas,4,Bases de Datos,4.19
OD20240403,Iván Roa Rodríguez,Odontología,10,Anatomía Dental,1.12
IC20220404,Adriana Ruiz Ramírez,Ingeniería Civil,6,Estática,4.53
PS20220405,Eduardo Guerrero Ariza,Psicología,8,Educativa,4.09
CP20230406,Laura Rivera Ortega,Contaduría Pública,8,Contabilidad General,4.31
PS20250407,Adriana Vargas Peña,Psicología,9,Psicología Clínica,3.15
LE20230408,Jorge Gómez Roa,Licenciatura en Educación Infantil,9,Inclusión,4.49
EN20240409,Gabriel Castillo Ríos,Enfermería,8,Urgencias,3.69
OD20220410,Mariana Martínez Mendoza,Odontología,4,Periodoncia,2.88
OD20230411,Claudia Castillo Polo,Odontología,4,Anatomía Dental,3.1
NI20250412,Fernando Figueroa Hernández,Negocios Internacionales,4,Idiomas,5.0
OD20240413,Mariana Rivera Morales,Odontología,6,Endodoncia,2.33
OD20250414,Eduardo Salinas Torres,Odontología,4,Endodoncia,3.75
OD20220415,Camila Hernández Reyes,Odontología,4,Endodoncia,3.67
DR20240416,Marcela Gómez Ramírez,Derecho,3,Derecho Civil,2.11
TS20240417,Daniela Polo Sánchez,Trabajo Social,9,Intervención Social,3.97
DR20240418,Melissa Cárdenas Pérez,Derecho,5,Penal,4.87
AR20230419,Carolina Pineda Peña,Arquitectura,6,Materiales,4.46
OD20250420,David Reyes Barrera,Odontología,3,Periodoncia,4.15
CS20250421,Mariana Ariza García,Comunicación Social,10,Comunicación Digital,2.14
OD20250422,Marcela Reyes Pineda,Odontología,2,Cirugía Oral,3.54
AR20240423,David Mendoza Flores,Arquitectura,2,Historia del Arte,1.4
CP20220424,Alejandra González Castillo,Contaduría Pública,2,Contabilidad General,3.87
LE20240425,Andrés Vega Peña,Licenciatura en Educación Infantil,7,Inclusión,3.91
AR20230426,Eduardo Roa Bermúdez,Arquitectura,4,Historia del Arte,3.34
CP20220427,Carlos Martínez Mendoza,Contaduría Pública,2,Tributaria,3.15
LE20240428,Sandra González Aguilar,Licenciatura en Educación Infantil,2,Inclusión,4.95
AR20250429,Gabriel Martínez Guerrero,Arquitectura,3,Urbanismo,1.63
EN20240430,Felipe Vega Guzmán,Enfermería,9,Pediatría,3.55
TS20230431,Melissa Salinas Aguilar,Trabajo Social,8,Intervención Social,3.71
OD20230432,Carlos Barrera Pineda,Odontología,8,Anatomía Dental,1.32
TS20240433,Carlos Rodríguez Ríos,Trabajo Social,2,Familia,3.95
EN20230434,Diego Rodríguez Roa,Enfermería,7,Pediatría,4.68
MD20240435,Luis López Cruz,Medicina,8,Fisiología,4.28
AR20220436,Daniela Bermúdez Guzmán,Arquitectura,2,Estructuras,4.21
EN20250437,Liliana Cárdenas Reyes,Enfermería,1,Urgencias,3.77
MD20220438,Ricardo Salinas Morales,Medicina,5,Clínica,4.86
NI20230439,Hernán Salinas Campos,Negocios Internacionales,10,Comercio Exterior,4.72
II20250440,Andrés Díaz Gómez,Ingeniería Industrial,1,Investigación de Operaciones,4.72
CP20220441,Iván Torres Palacios,Contaduría Pública,6,Contabilidad General,3.7
MD20250442,Miguel Ortega Campos,Medicina,1,Anatomía,3.57
IC20220443,Patricia Cárdenas Bermúdez,Ingeniería Civil,2,Hidráulica,4.44
AR20250444,Jorge Cruz Jiménez,Arquitectura,8,Diseño I,3.16
CS20220445,Marcela Palacios Serrano,Comunicación Social,7,Opinión Pública,4.67
MD20240446,Andrea Hernández Figueroa,Medicina,5,Anatomía,3.9
TS20230447,Paola Ortega Peña,Trabajo Social,2,Política Social,3.87
CS20220448,Cristian Mendoza Ortega,Comunicación Social,7,Producción Audiovisual,3.96
NI20240449,Jorge Figueroa Peña,Negocios Internacionales,9,Comercio Exterior,3.58
PS20220450,Paola Pinto Herrera,Psicología,3,Neuropsicología,3.33
MD20240451,Isabella Morales López,Medicina,1,Fisiología,3.91
LE20220452,Hernán Medina Pineda,Licenciatura en Educación Infantil,2,Desarrollo Infantil,3.8
EN20240453,Mariana Ríos Cárdenas,Enfermería,6,Farmacología,4.13
IS20220454,Alejandra Rodríguez Vargas,Ingeniería de Sistemas,7,Bases de Datos,4.39
AE20240455,Laura Reyes Roa,Administración de Empresas,4,Estrategia,3.93
MD20230456,Cristian Serrano García,Medicina,3,Cirugía,4.11
CS20250457,Rafael Ramos Pinto,Comunicación Social,5,Opinión Pública,4.23
AR20250458,Laura Delgado Ramos,Arquitectura,9,Materiales,3.2
AR20240459,Rodrigo Romero Aguilar,Arquitectura,10,Estructuras,4.24
DR20240460,Luisa Ortega Pineda,Derecho,5,Constitucional,3.21
PS20230461,Andrea Hernández Palacios,Psicología,6,Psicología Clínica,4.5
PS20230462,Diego Vega Medina,Psicología,1,Social,4.11
LE20240463,Fernando Pineda Ríos,Licenciatura en Educación Infantil,6,Desarrollo Infantil,4.44
MD20240464,Mariana Vargas Pérez,Medicina,3,Cirugía,4.09
IC20240465,Monica Suárez Roa,Ingeniería Civil,4,Resistencia de Materiales,4.15
OD20250466,Luisa Romero Cruz,Odontología,5,Anatomía Dental,3.93
IC20230467,Patricia Cárdenas Acosta,Ingeniería Civil,8,Concreto,3.27
IS20230468,Claudia Ramos Vega,Ingeniería de Sistemas,3,Bases de Datos,3.99
TS20220469,Vanessa Torres Mendoza,Trabajo Social,3,Familia,3.99
IS20240470,Miguel Pineda Hernández,Ingeniería de Sistemas,8,Bases de Datos,4.08
NI20230471,Liliana Flores Peña,Negocios Internacionales,2,Tratados,3.71
IS20230472,Carolina Ríos Jiménez,Ingeniería de Sistemas,1,Redes,4.95
IS20230473,Liliana Campos Gómez,Ingeniería de Sistemas,1,Bases de Datos,4.17
EN20240474,Nicolás Pérez Jiménez,Enfermería,10,Farmacología,1.09
EN20240475,Carlos Delgado Ariza,Enfermería,10,Salud Pública,5.0
NI20230476,Luisa Peña Castillo,Negocios Internacionales,4,Logística,1.43
IS20230477,Nicolás Díaz Ariza,Ingeniería de Sistemas,10,Programación I,3.83
CP20220478,Santiago Jiménez Pineda,Contaduría Pública,9,Finanzas,4.83
CS20250479,Adriana Martínez Hernández,Comunicación Social,2,Opinión Pública,3.77
AE20240480,Ricardo Guzmán Torres,Administración de Empresas,1,Estrategia,4.33
CS20250481,Natalia Acosta Palacios,Comunicación Social,3,Periodismo,3.81
MD20230482,Carlos Sánchez Pérez,Medicina,4,Farmacología,4.49
CP20220483,David Pinto Vega,Contaduría Pública,3,Finanzas,3.6
IS20220484,Ricardo Suárez Morales,Ingeniería de Sistemas,1,Programación I,4.33
EN20220485,Daniela Rodríguez Polo,Enfermería,2,Pediatría,4.23
IS20230486,Carlos Cruz Delgado,Ingeniería de Sistemas,2,Programación I,4.18
CS20220487,Monica Mendoza Guerrero,Comunicación Social,2,Periodismo,1.26
DR20240488,Adriana Flores Suárez,Derecho,8,Derecho Civil,3.67
MD20250489,Sofía Medina Medina,Medicina,5,Clínica,4.32
CS20230490,Andrés Sánchez Ramírez,Comunicación Social,1,Periodismo,3.8
II20250491,Eduardo Serrano Ruiz,Ingeniería Industrial,10,Estadística,4.43
LE20220492,Sandra Ramírez Ríos,Licenciatura en Educación Infantil,8,Lúdica,3.53
CS20230493,Adriana Mendoza García,Comunicación Social,9,Publicidad,3.84
AR20250494,Marcela Pérez Guerrero,Arquitectura,4,Estructuras,4.32
IS20230495,Daniela Aguilar Acosta,Ingeniería de Sistemas,1,Sistemas Operativos,4.43
MD20230496,Andrés González Bermúdez,Medicina,6,Farmacología,4.53
PS20230497,Julián Aguilar Roa,Psicología,7,Psicología Clínica,3.9
MD20220498,Luis Rodríguez Peña,Medicina,6,Clínica,4.01
EN20220499,Melissa Vega López,Enfermería,9,Cuidado Básico,4.48
EN20250500,Iván Ramos Herrera,Enfermería,4,Pediatría,3.53
EN20250501,Julián Delgado Suárez,Enfermería,10,Pediatría,4.06
IS20240502,Liliana Barrera Reyes,Ingeniería de Sistemas,6,Redes,3.69
MD20250503,Mateo López Flores,Medicina,3,Anatomía,3.6
MD20240504,Sofía Medina Díaz,Medicina,4,Anatomía,4.02
IC20250505,Iván Serrano Cárdenas,Ingeniería Civil,8,Concreto,4.57
CS20250506,María García Campos,Comunicación Social,1,Comunicación Digital,3.75
II20220507,Mariana Guzmán Cárdenas,Ingeniería Industrial,3,Ergonomía,4.3
PS20230508,Miguel Herrera Jiménez,Psicología,10,Social,3.67
II20240509,Carlos Ruiz Ramírez,Ingeniería Industrial,7,Logística,4.36
AE20240510,Diana Pineda Díaz,Administración de Empresas,4,Marketing,4.57
EN20240511,Gabriel Roa Rivera,Enfermería,9,Cuidado Básico,4.28
CS20240512,Patricia Salinas Barrera,Comunicación Social,7,Opinión Pública,4.26
IS20230513,Valentina Jiménez Torres,Ingeniería de Sistemas,1,Redes,4.08
II20240514,Carlos Serrano Cruz,Ingeniería Industrial,1,Producción,4.02
TS20230515,Luis Pérez Acosta,Trabajo Social,9,Investigación Social,3.76
AR20250516,Alejandra Vargas Guzmán,Arquitectura,1,Historia del Arte,3.89
IS20240517,Monica Mendoza Aguilar,Ingeniería de Sistemas,1,Bases de Datos,4.39
CS20230518,Luis Reyes Pineda,Comunicación Social,6,Producción Audiovisual,3.59
II20220519,Monica González Rivera,Ingeniería Industrial,9,Ergonomía,1.53
OD20220520,Diego Ramírez Flores,Odontología,5,Periodoncia,3.97
OD20240521,Santiago Torres Mendoza,Odontología,1,Ortodoncia,4.28
EN20230522,Sebastián Pinto Mendoza,Enfermería,4,Urgencias,1.96
PS20240523,Jorge Núñez Núñez,Psicología,2,Neuropsicología,4.83
AE20250524,Luisa Romero Vargas,Administración de Empresas,10,Contabilidad,4.49
DR20230525,Alejandro Sánchez Barrera,Derecho,8,Procesal,4.62
PS20250526,Santiago Serrano Mendoza,Psicología,2,Social,3.64
EN20250527,Claudia Polo Romero,Enfermería,9,Salud Pública,2.71
IC20230528,Felipe Mendoza Herrera,Ingeniería Civil,2,Concreto,3.81
NI20250529,Laura Barrera Pineda,Negocios Internacionales,4,Comercio Exterior,3.33
AR20230530,Mauricio Polo Guerrero,Arquitectura,2,Diseño I,3.67
II20220531,Camila González Hernández,Ingeniería Industrial,5,Logística,4.46
AR20250532,Jorge Jiménez Ruiz,Arquitectura,7,Estructuras,2.28
CS20220533,Fernando García Roa,Comunicación Social,10,Comunicación Digital,2.61
CP20220534,David Herrera Pérez,Contaduría Pública,5,Tributaria,4.22
MD20230535,Melissa Barrera Martínez,Medicina,3,Fisiología,4.4
II20240536,Fernando Vargas Pineda,Ingeniería Industrial,5,Investigación de Operaciones,3.78
OD20250537,Sofía López García,Odontología,10,Endodoncia,3.54
LE20230538,Laura Figueroa Figueroa,Licenciatura en Educación Infantil,6,Lúdica,4.93
AE20240539,Daniela Flores Rivera,Administración de Empresas,10,Finanzas,3.27
LE20250540,Eduardo Hernández Bermúdez,Licenciatura en Educación Infantil,9,Inclusión,3.27
CS20250541,Diego Pérez Gómez,Comunicación Social,10,Publicidad,3.84
OD20230542,Andrea Pérez Vargas,Odontología,2,Periodoncia,3.66
OD20240543,Rodrigo Ramos Guzmán,Odontología,3,Periodoncia,4.58
CS20240544,Miguel Morales Reyes,Comunicación Social,7,Publicidad,3.29
DR20250545,Ricardo Delgado Ruiz,Derecho,5,Procesal,3.26
LE20230546,Camila Ortega Ramírez,Licenciatura en Educación Infantil,9,Didáctica,4.31
TS20220547,Sandra González Martínez,Trabajo Social,9,Investigación Social,3.88
CP20250548,Laura López Aguilar,Contaduría Pública,9,Auditoría,3.61
TS20230549,Cristian Cárdenas Ariza,Trabajo Social,5,Familia,3.55
AR20230550,Stephanie Herrera García,Arquitectura,4,Materiales,3.06
TS20250551,Eduardo Salinas Barrera,Trabajo Social,3,Comunidad,2.45
DR20220552,Julián González Cruz,Derecho,4,Penal,3.9
LE20220553,Juan Ríos Delgado,Licenciatura en Educación Infantil,1,Didáctica,3.39
CP20230554,Iván Ortega Figueroa,Contaduría Pública,10,Costos,4.18
CP20230555,Adriana González Campos,Contaduría Pública,7,Finanzas,3.91
LE20220556,David Peña Ríos,Licenciatura en Educación Infantil,10,Inclusión,4.72
AR20230557,Julián González Herrera,Arquitectura,5,Urbanismo,3.14
AE20240558,Gabriel Sánchez Barrera,Administración de Empresas,7,Gestión Humana,3.74
AR20220559,Laura Cárdenas Flores,Arquitectura,7,Urbanismo,2.09
EN20230560,Andrés Ramírez Pineda,Enfermería,1,Cuidado Básico,3.37
OD20240561,Claudia Medina Palacios,Odontología,1,Anatomía Dental,3.24
AE20230562,Ricardo Ríos Flores,Administración de Empresas,7,Contabilidad,4.09
II20250563,Rodrigo Herrera Cruz,Ingeniería Industrial,6,Logística,3.61
IS20250564,Juan Ramírez Pérez,Ingeniería de Sistemas,4,Bases de Datos,4.09
LE20220565,Marcela Palacios López,Licenciatura en Educación Infantil,9,Pedagogía,3.57
LE20250566,Rafael Núñez García,Licenciatura en Educación Infantil,7,Didáctica,4.35
NI20240567,Carolina Reyes Ríos,Negocios Internacionales,7,Tratados,4.45
PS20240568,Alejandra Salinas Pérez,Psicología,3,Educativa,4.46
LE20250569,Camila Vargas Palacios,Licenciatura en Educación Infantil,9,Didáctica,3.28
IC20220570,Alejandro Salinas Campos,Ingeniería Civil,9,Topografía,4.34
IC20250571,Miguel Vega Romero,Ingeniería Civil,3,Concreto,3.93
OD20250572,Carolina Salinas Romero,Odontología,5,Cirugía Oral,3.89
EN20250573,Ricardo Rivera Romero,Enfermería,9,Pediatría,4.79
CS20220574,Cristian Pinto Medina,Comunicación Social,3,Producción Audiovisual,3.85
EN20240575,Andrés Pérez Díaz,Enfermería,7,Urgencias,4.34
AR20220576,Isabella Flores Jiménez,Arquitectura,1,Urbanismo,3.8
AE20220577,Camila González Cruz,Administración de Empresas,6,Contabilidad,1.73
EN20220578,Melissa Acosta Roa,Enfermería,5,Farmacología,4.22
CP20220579,Felipe Barrera Campos,Contaduría Pública,4,Finanzas,3.85
IS20230580,Marcela Flores Serrano,Ingeniería de Sistemas,6,Programación I,4.54
DR20250581,Natalia Polo Medina,Derecho,7,Procesal,3.01
EN20240582,Gabriel González Rodríguez,Enfermería,5,Pediatría,4.64
LE20220583,Rafael Gómez Delgado,Licenciatura en Educación Infantil,7,Didáctica,3.2
CP20220584,Diana González Herrera,Contaduría Pública,6,Finanzas,4.94
MD20250585,Eduardo Cruz Guzmán,Medicina,7,Fisiología,4.48
LE20220586,Vanessa Serrano Delgado,Licenciatura en Educación Infantil,10,Lúdica,3.03
CS20240587,Iván Reyes Serrano,Comunicación Social,4,Opinión Pública,4.76
AE20220588,Alejandro Guzmán Cruz,Administración de Empresas,5,Estrategia,4.41
MD20240589,Sebastián Aguilar Rivera,Medicina,6,Fisiología,4.63
MD20230590,Mauricio Serrano Gómez,Medicina,4,Fisiología,4.1
DR20220591,Felipe Morales Acosta,Derecho,3,Derecho Civil,4.84
IS20220592,Rodrigo Peña Acosta,Ingeniería de Sistemas,9,Algoritmos,3.66
II20240593,Eduardo Ortega Peña,Ingeniería Industrial,9,Ergonomía,3.23
MD20220594,Isabella Campos Guerrero,Medicina,9,Cirugía,3.93
IC20250595,Cristian Rivera Delgado,Ingeniería Civil,9,Hidráulica,4.01
IC20240596,Laura Jiménez Cárdenas,Ingeniería Civil,6,Concreto,4.09
MD20240597,Diego Morales Ortega,Medicina,10,Farmacología,3.17
DR20250598,Jorge Guzmán Bermúdez,Derecho,6,Constitucional,3.79
TS20240599,Eduardo Serrano Reyes,Trabajo Social,2,Política Social,3.93
II20220600,Felipe Torres Figueroa,Ingeniería Industrial,8,Producción,3.57
CS20250601,Iván Campos Núñez,Comunicación Social,6,Publicidad,3.93
CS20220602,Isabella Medina Pérez,Comunicación Social,3,Producción Audiovisual,4.24
CS20240603,Iván Pérez Ruiz,Comunicación Social,6,Publicidad,3.78
PS20240604,Diego Castillo Martínez,Psicología,2,Evaluación,3.23
NI20240605,Adriana Núñez Rivera,Negocios Internacionales,5,Idiomas,4.24
PS20240606,Mauricio Ruiz Rodríguez,Psicología,10,Educativa,4.07
PS20250607,Andrés Pineda Suárez,Psicología,10,Psicología Clínica,3.14
CP20250608,Miguel Mendoza Roa,Contaduría Pública,5,Tributaria,4.89
EN20250609,Stephanie Figueroa Cárdenas,Enfermería,8,Farmacología,3.01
CP20230610,Sandra Morales Barrera,Contaduría Pública,2,Auditoría,3.55
IS20220611,Ricardo Aguilar Hernández,Ingeniería de Sistemas,7,Programación I,3.58
AE20240612,Adriana Jiménez Ramos,Administración de Empresas,4,Estrategia,4.07
AR20240613,Andrés Martínez López,Arquitectura,6,Historia del Arte,3.94
II20230614,Natalia Aguilar Ruiz,Ingeniería Industrial,9,Logística,3.82
EN20240615,Iván Salinas Guerrero,Enfermería,9,Pediatría,3.61
DR20240616,Camila Ruiz Ramos,Derecho,7,Penal,3.5
CP20220617,Liliana Ramírez Castillo,Contaduría Pública,8,Costos,4.74
NI20230618,Alejandro Polo Guerrero,Negocios Internacionales,5,Comercio Exterior,3.59
AE20250619,Diana Guerrero Medina,Administración de Empresas,3,Estrategia,3.03
NI20240620,Iván Morales Campos,Negocios Internacionales,10,Idiomas,4.27
TS20230621,Natalia Vega Gómez,Trabajo Social,2,Política Social,3.82
CS20250622,Marcela Ruiz Ortega,Comunicación Social,10,Producción Audiovisual,3.58
IC20240623,Fernando Martínez Rivera,Ingeniería Civil,5,Resistencia de Materiales,4.36
IS20230624,Julián Rodríguez Torres,Ingeniería de Sistemas,8,Redes,3.89
CS20240625,María Romero Delgado,Comunicación Social,1,Periodismo,4.48
PS20250626,Isabella Ortega Polo,Psicología,2,Neuropsicología,3.34
NI20250627,Juan García Sánchez,Negocios Internacionales,4,Logística,3.4
NI20230628,Felipe Delgado Figueroa,Negocios Internacionales,2,Logística,3.98
CS20220629,Miguel Flores Pineda,Comunicación Social,1,Publicidad,3.65
AE20230630,Stephanie Hernández Barrera,Administración de Empresas,2,Estrategia,3.58
PS20220631,Natalia Cárdenas Sánchez,Psicología,4,Psicología Clínica,3.85
DR20230632,Alejandra Palacios Torres,Derecho,2,Penal,3.84
IS20240633,Luisa Bermúdez Pineda,Ingeniería de Sistemas,1,Bases de Datos,4.4
DR20240634,Nicolás Peña Reyes,Derecho,9,Laboral,4.01
II20220635,Juan Castillo Ariza,Ingeniería Industrial,5,Ergonomía,4.28
AE20230636,Fernando Guzmán Peña,Administración de Empresas,10,Contabilidad,3.87
II20230637,Natalia Palacios Aguilar,Ingeniería Industrial,2,Ergonomía,3.63
NI20250638,Stephanie Delgado García,Negocios Internacionales,9,Finanzas Internacionales,4.81
AE20220639,Stephanie Polo Acosta,Administración de Empresas,6,Contabilidad,4.09
EN20240640,Monica Peña Polo,Enfermería,3,Pediatría,3.66
IC20230641,Mateo Campos Barrera,Ingeniería Civil,1,Resistencia de Materiales,4.1
IS20250642,María Gómez Pérez,Ingeniería de Sistemas,10,Algoritmos,3.85
AE20220643,Diego Hernández Romero,Administración de Empresas,10,Gestión Humana,4.6
NI20240644,María Rodríguez Delgado,Negocios Internacionales,1,Tratados,4.45
TS20240645,Stephanie Pinto Hernández,Trabajo Social,10,Investigación Social,1.13
EN20220646,Paola González Díaz,Enfermería,2,Farmacología,3.59
OD20250647,Claudia Barrera Morales,Odontología,3,Anatomía Dental,4.29
AR20220648,Monica Delgado Guzmán,Arquitectura,7,Urbanismo,4.27
II20250649,Hernán Suárez Barrera,Ingeniería Industrial,9,Estadística,4.78
NI20240650,Miguel Romero Vega,Negocios Internacionales,7,Tratados,3.22
LE20240651,Juan Polo Aguilar,Licenciatura en Educación Infantil,5,Lúdica,3.7
OD20230652,Sandra López Vargas,Odontología,1,Periodoncia,2.87
NI20230653,Laura Mendoza Martínez,Negocios Internacionales,5,Comercio Exterior,1.68
LE20230654,Nicolás Cruz Romero,Licenciatura en Educación Infantil,10,Desarrollo Infantil,3.65
LE20220655,Eduardo Medina Salinas,Licenciatura en Educación Infantil,4,Didáctica,4.09
TS20240656,Alejandra Guzmán Salinas,Trabajo Social,2,Intervención Social,4.29
LE20240657,Camila Polo Hernández,Licenciatura en Educación Infantil,6,Lúdica,3.93
AR20220658,Cristian Reyes Figueroa,Arquitectura,10,Historia del Arte,2.0
II20230659,Miguel Núñez Salinas,Ingeniería Industrial,6,Producción,2.39
OD20220660,Melissa Ruiz Bermúdez,Odontología,10,Cirugía Oral,3.89
IC20220661,Daniela Ramírez Suárez,Ingeniería Civil,8,Concreto,3.54
CS20230662,Hernán Guerrero Polo,Comunicación Social,3,Opinión Pública,3.74
EN20230663,Adriana Salinas Gómez,Enfermería,10,Farmacología,3.31
IC20250664,Miguel Serrano Salinas,Ingeniería Civil,2,Topografía,3.6
IS20230665,David Palacios Roa,Ingeniería de Sistemas,5,Redes,4.5
MD20230666,Luis Acosta Torres,Medicina,1,Fisiología,4.08
CS20230667,Sandra Rodríguez Sánchez,Comunicación Social,1,Comunicación Digital,4.93
CS20240668,Carlos García Suárez,Comunicación Social,2,Opinión Pública,3.67
AE20240669,Mauricio Núñez Díaz,Administración de Empresas,9,Contabilidad,3.86
AR20250670,Daniela Guzmán Guzmán,Arquitectura,1,Materiales,4.76
CP20240671,Diego Flores Hernández,Contaduría Pública,4,Contabilidad General,3.97
CP20220672,Sebastián Jiménez Barrera,Contaduría Pública,6,Contabilidad General,3.94
EN20240673,Juan Reyes Jiménez,Enfermería,2,Salud Pública,4.27
MD20220674,Mariana Gómez Herrera,Medicina,9,Anatomía,3.21
CS20220675,Luisa Peña Medina,Comunicación Social,3,Publicidad,4.18
CP20240676,Paola Morales Herrera,Contaduría Pública,1,Costos,4.91
AE20240677,Valentina Aguilar Ortega,Administración de Empresas,3,Estrategia,4.04
OD20250678,Juan Campos Serrano,Odontología,4,Cirugía Oral,3.71
MD20230679,Paola Palacios Suárez,Medicina,9,Fisiología,4.29
CP20230680,Monica Gómez Ramírez,Contaduría Pública,9,Costos,4.99
LE20240681,Daniela Roa Salinas,Licenciatura en Educación Infantil,3,Pedagogía,3.97
TS20220682,Sofía Rivera Mendoza,Trabajo Social,3,Comunidad,4.71
CS20230683,Jorge Ramos Ruiz,Comunicación Social,5,Producción Audiovisual,3.07
CP20230684,Liliana Acosta Acosta,Contaduría Pública,10,Finanzas,3.27
NI20230685,David Rodríguez Guzmán,Negocios Internacionales,8,Tratados,4.23
TS20250686,Adriana Romero Rivera,Trabajo Social,7,Familia,3.08
IS20250687,Santiago Vega Bermúdez,Ingeniería de Sistemas,5,Bases de Datos,4.49
II20250688,Liliana Díaz González,Ingeniería Industrial,8,Estadística,4.44
IS20250689,Carolina Medina Polo,Ingeniería de Sistemas,10,Redes,3.97
EN20220690,Eduardo Palacios Núñez,Enfermería,1,Salud Pública,3.94
PS20250691,Andrea Campos Núñez,Psicología,1,Evaluación,4.48
PS20240692,Felipe Vargas Ruiz,Psicología,5,Educativa,3.12
LE20250693,Isabella Guzmán Campos,Licenciatura en Educación Infantil,3,Lúdica,3.2
LE20230694,Mariana Polo Cárdenas,Licenciatura en Educación Infantil,9,Lúdica,3.73
LE20250695,Mariana Delgado Cárdenas,Licenciatura en Educación Infantil,4,Pedagogía,3.85
CS20220696,Gabriel Flores Pinto,Comunicación Social,2,Periodismo,4.32
PS20230697,Camila Campos Pinto,Psicología,9,Educativa,3.52
TS20230698,Andrés Suárez Salinas,Trabajo Social,3,Política Social,3.28
CS20240699,Jorge Ramos Ramos,Comunicación Social,8,Producción Audiovisual,3.05
NI20220700,Felipe García Acosta,Negocios Internacionales,5,Logística,3.75
AE20250701,Alejandro Palacios Peña,Administración de Empresas,4,Estrategia,3.54
LE20240702,Rafael García Morales,Licenciatura en Educación Infantil,9,Inclusión,4.41
II20240703,Laura Hernández Rivera,Ingeniería Industrial,1,Investigación de Operaciones,3.01
DR20220704,Eduardo Palacios Ramos,Derecho,2,Derecho Civil,3.59
AR20230705,Monica Vargas Acosta,Arquitectura,10,Historia del Arte,4.18
CP20240706,Santiago Rodríguez Polo,Contaduría Pública,6,Costos,4.38
